f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,label
-0.183442,-1.356854,1.93949,0,0.459929,-0.321809,-0.14939,0.66371,0.169513,-0.390701,1.690609,2.263716,1.26071,0.065641,-2.654607,-2.222528,-2.219726,2.268062,0.545069,-2.143629,2.327731,2.29253,2.214342,0.493401,0.118137,0.754293,0.774429,2.319951,-0.432408,-2.131992,0.030757,0.543581,0,0.311798,-0.986368,0.772342,0.713846,2.319179,-0.121784,-2.143409,0.82039,0.995743,2.053902,-0.736127,-0.075294,0.17948,-0.998332,2.093131,0.183246,-1.995358,0.420991,0.372283,1.92418,-0.14725,0.558711,0.752909,0.771673,2.315862,-0.35601,-2.128014,0.361903,0.51915,1.872646,0.267412,0.642499,happy
-0.617631,-1.273814,1.307269,0,-0.171788,-0.440733,-0.370472,0.804478,-0.326812,0.011823,0.901502,1.522318,1.376938,-1.036555,-0.98776,-2.222528,-2.219726,2.185929,0.329608,-2.143629,2.39738,2.378382,2.089242,0.184278,0.904023,0.701355,0.774429,2.261437,-0.691958,-2.131992,-0.229785,0.525347,0,-0.264592,-0.93893,0.705423,0.713846,2.264145,-0.381461,-2.143409,0.662953,0.772277,2.063506,0.54534,-0.568727,0.213208,-0.998332,2.043011,0.219444,-1.995358,0.444627,0.285366,1.865314,0.441276,0.750798,0.745796,0.771673,2.263975,-0.422196,-2.128014,0.401899,0.574358,1.840422,-0.321752,0.730319,happy
0.871211,-1.123635,0.056669,0,0.699109,-0.519558,-0.529417,0.378741,0.432198,-0.319682,0.166793,0.51515,0.584471,-0.561633,-0.499743,-2.222528,-2.219726,2.273125,1.478991,-2.143629,2.251699,2.197479,2.156534,0.830191,0.11982,0.484,0.551987,2.323194,-0.487696,-2.131992,-0.485908,0.131496,0,0.423306,-0.528976,0.736362,0.713846,2.347819,-0.218949,-2.143409,1.000272,1.169043,2.125494,-0.934584,0.359893,0.161604,-0.998332,2.119388,0.164334,-1.995358,0.570121,0.683735,2.112663,-1.079203,0.039878,0.406973,0.233638,2.317897,0.541956,-2.128014,0.509357,0.655718,2.126331,-0.758913,-0.084097,happy
-0.687046,-0.939888,0.963469,0,-0.164753,-0.679674,-0.099938,0.910913,-0.289815,0.824183,0.769274,-0.140626,0.299183,-0.860006,-1.186133,-2.222528,-2.219726,2.138717,2.534074,-2.143629,2.322655,2.29253,2.074383,0.396342,0.545462,0.410737,0.378976,2.2084,-0.112257,-2.131992,-0.20598,-0.266001,0,2.299711,-0.94463,0.695729,0.713846,2.237869,-0.434503,-2.143409,0.633698,0.779118,1.995619,0.052643,-0.535551,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.104828,0.089802,1.824031,-0.024516,0.40887,0.512783,0.258094,2.217942,0.770726,-2.128014,0.175045,0.490092,1.819838,-0.24123,0.44531,happy
0.223527,-0.173094,0.555063,0,0.555601,-0.603201,-0.331325,0.735811,-0.148218,0.241485,0.276363,1.095206,1.123349,-1.079326,-1.248589,-2.222528,-2.219726,2.192957,1.175699,-2.143629,2.153526,2.05337,2.220172,1.606658,-0.666284,0.83319,0.774429,2.239958,-0.203742,-2.131992,-0.4322,-0.33529,0,1.877633,-0.914377,0.804915,0.713846,2.238256,-0.067918,-2.143409,0.854444,1.096075,2.243844,-1.644639,-0.512941,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.624118,0.618548,2.02809,-0.554314,0.203104,0.83428,0.771673,2.237771,-0.133423,-2.128014,0.570608,0.655718,1.996269,-0.562151,0.23185,happy
0.957679,-0.860381,-0.28713,0,0.603437,-0.578206,-0.720584,-0.033264,1.059204,0.346997,-0.449481,-0.032897,0.161822,-0.330439,-0.084152,-2.222528,-2.219726,2.229289,0.471755,-2.143629,2.486983,2.491829,2.206789,-0.211386,0.946527,0.625544,0.551987,2.336478,0.054503,-2.131992,-0.442336,-0.036255,0,0.675088,-0.881856,0.712126,0.713846,2.347703,-0.297142,-2.143409,0.841818,1.094935,2.381163,-1.681016,-0.673976,0.161604,-0.998332,2.119388,0.164334,-1.995358,0.256654,0.604061,2.281553,-1.818182,-0.7143,0.623187,0.771673,2.338656,-0.777155,-2.128014,0.221142,0.652812,2.335545,-1.754599,-0.8135,happy
-0.214406,-0.687234,1.307269,0,0.412093,-0.339931,-0.096339,0.732378,0.067139,-0.211358,2.189897,1.626458,1.281842,-1.012836,-2.758002,-2.222528,-2.219726,2.204512,-0.083525,-2.143629,2.090232,2.01351,2.250968,1.234306,-0.926914,0.854959,0.774429,2.241298,-0.118222,-2.131992,-0.983225,-0.368111,0,0.310052,-0.352155,0.804915,0.713846,2.238256,-0.067918,-2.143409,0.559313,0.608098,2.086944,1.629132,-0.799404,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.482888,0.365039,1.793722,0.147348,1.138163,0.845461,0.771673,2.238313,-0.093798,-2.128014,0.548804,0.585981,1.785311,0.211013,1.193245,happy
0.907984,-1.035295,0.107432,0,0.865128,-0.437559,-0.603369,0.30149,0.53808,-0.434405,0.385655,0.942907,1.102216,-1.06212,-0.348515,-2.222528,-2.219726,2.274674,1.092347,-2.143629,2.361481,2.356919,2.222613,-0.016846,0.438582,0.394318,0.551987,2.382796,-0.761983,-2.131992,-1.033923,-0.437399,0,0.476663,-0.367833,0.659638,0.713846,2.407193,-0.420705,-2.143409,0.926823,1.082393,1.916702,-0.691504,0.989024,0.12345,-0.998332,2.174331,0.124592,-1.995358,0.292622,0.415741,2.144261,-0.835616,-0.241649,0.550811,0.771673,2.403626,-0.957426,-2.128014,0.361243,0.55983,1.996964,-0.24648,0.29578,happy
-0.625419,-0.772041,-0.171761,0,-0.609346,-0.506862,-0.870369,-0.072747,1.037391,0.111336,-0.156659,-0.124764,-0.017804,-0.11075,-0.409736,-2.222528,-2.219726,2.273939,0.43884,-2.143629,2.356433,2.320125,2.181065,0.50118,0.536956,0.432874,0.551987,2.351684,-0.650951,-2.131992,-0.819523,-0.451986,0,0.903271,-0.769112,0.624572,0.713846,2.375898,-0.556381,-2.143409,1.006777,1.137119,1.979319,-0.427833,1.011785,0.142927,-0.998332,2.14639,0.144757,-1.995358,0.555809,0.676492,2.204415,-1.042062,-0.216888,0.414363,0.233638,2.354627,0.583456,-2.128014,0.638239,0.725455,2.109508,-1.088804,0.160401,happy
0.883144,-0.772041,0.056669,0,0.520428,-0.436794,-1.015692,-0.191199,1.136825,0.24253,-0.393508,0.331415,0.225219,-0.052587,-0.238857,-2.222528,-2.219726,2.266236,1.789295,-2.143629,2.413537,2.390646,2.192063,0.263621,0.668301,0.348939,0.551987,2.324592,-0.993821,-2.131992,-0.839395,-0.455633,0,1.135494,-0.66748,-0.419483,-0.269391,2.242636,-0.362309,-2.143409,0.924945,1.166763,2.414749,-1.643847,-0.546439,0.161604,-0.998332,2.119388,0.164334,-1.995358,0.425702,0.709086,2.239979,-1.699683,-0.4789,0.097904,0.258094,2.297274,-0.624103,-2.128014,0.36181,0.706568,2.319586,-1.832222,-0.681986,happy
