1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
28.1184,0,-2.18,-89.12,30.39,-1.76665,474.952,566,-0.228285,398.834,-0.915201,476.852,433,0.145571,301.242,973,990,138.92,-0.122372,50.8583,965.98,982,138.086,-0.116012,50.595,972.471,991,138.779,-0.133518,50.9613,529.431,500,155.23,0.189599,7.45867,941.588,956,134.987,-0.106764,49.9766,939.882,970,138.136,-0.218029,44.9474,980.412,1000,139.885,-0.140031,51.0039,948.804,970,137.245,-0.154439,48.1068,960.118,977,137.163,-0.123083,50.7272,947.176,968,136.661,-0.152373,48.6316,1
24.5124,0,-1.64,-89.14,31.61,-1.73375,490.848,634,-0.363461,393.859,-0.926667,468.984,406,0.208142,302.6,950.041,964,138.649,-0.10068,48.629,960.469,981,141.804,-0.144782,46.2878,968.776,991,141.289,-0.157298,48.7716,622.469,500,239.967,0.51036,-0.198672,938.306,956,136.973,-0.129178,48.573,927.612,946,136.748,-0.134465,46.5809,979.612,1000,142.712,-0.14286,49.0035,925.429,946,136.183,-0.151057,46.9355,956.612,977,139.554,-0.146092,48.7103,913.041,930,134.893,-0.125723,46.1495,1
29.3864,0,-5.44,-90,25.91,-1.7808,447.181,476,-0.0710254,405.757,-0.984454,490.584,445,0.146227,311.734,969.24,990,139.82,-0.148477,49.8554,901.68,911,134.383,-0.0693542,43.3898,978.02,1000,141.048,-0.155833,49.9144,500.02,500,100.914,0.000198188,24.5002,980.02,1000,141.279,-0.141422,50.0011,872.54,901,140.133,-0.203092,31.4648,980.02,1000,141.279,-0.141422,50.0011,875.34,901,137.967,-0.185987,34.1154,980.02,1000,141.279,-0.141422,50.0011,849.08,866,142.679,-0.118588,25.8456,1
23.8207,0,-5.44,-90,25.46,-1.77211,446.038,484,-0.0922891,411.337,-0.971202,488.904,452,0.119122,309.8,970.16,990,139.968,-0.141747,49.8321,942.66,967,137.8,-0.176633,47.1141,975.82,1000,140.759,-0.171783,49.871,550.02,500,182.046,0.274765,3.88764,980.02,1000,141.279,-0.141422,50.0011,908.98,927,133.644,-0.134836,45.9692,980.02,1000,141.279,-0.141422,50.0011,909.58,927,133.826,-0.130169,45.8332,979.06,1000,141.22,-0.14828,49.8824,878.1,887,131.712,-0.0675715,42.2147,1
26.6819,0,-5.98,89.03,24.36,-1.74584,430.638,451,-0.0501975,405.635,-0.961764,483.096,451,0.103595,309.82,970.804,990,138.636,-0.138463,50.8117,942.588,968,137.046,-0.185425,47.0676,965.157,981,137.792,-0.114979,50.8698,558.843,500,190.913,0.30822,2.96472,980.412,1000,139.885,-0.140031,51.0039,919.725,939,137.86,-0.139813,41.3313,980.412,1000,139.885,-0.140031,51.0039,926.824,939,137.28,-0.0886978,43.4835,976.647,1000,139.626,-0.167253,50.5729,894.784,913,136.435,-0.133511,38.4003,1
26.6087,0,-5.14,89.1,28.57,-1.74724,468.648,522,-0.13231,403.238,-0.986643,462.848,410.5,0.169703,308.467,969.882,990,138.559,-0.145191,50.7265,948.078,966,139.409,-0.128553,44.8549,968.686,990,138.287,-0.154126,50.8842,637.275,500,246.492,0.556912,-0.525429,980.412,1000,139.885,-0.140031,51.0039,910.569,929,134.249,-0.137292,44.3506,980.412,1000,139.885,-0.140031,51.0039,913.039,929,134.178,-0.118952,44.9697,963.471,976,137.887,-0.0908673,50.346,872.412,878,132.006,-0.0423333,39.7034,1
23.7653,2.86,-2.18,-90,26.35,-1.83128,421.21,307,0.273144,418.129,-0.942847,536.644,508,0.0910927,314.449,963.042,985.5,142.029,-0.158125,47.6906,948.271,972,141.576,-0.167608,45.2546,968.333,990,142.664,-0.151872,47.8984,520.854,500,144.258,0.144562,9.70282,979.188,1000,144.193,-0.144338,48.0009,918.063,934,138.388,-0.115165,43.437,979.188,1000,144.193,-0.144338,48.0009,908.833,912,137.377,-0.0230509,42.9223,969.188,1000,143.21,-0.215156,47.3023,895.5,900,138.402,-0.032514,39.0241,1
26.5212,2.29,0,88.29,33.3,-1.72262,523.476,669,-0.352745,412.547,-1.13623,467.904,387,0.249083,324.808,967.72,990,139.604,-0.159594,49.8493,903.4,936,134.908,-0.241646,43.0039,970.7,990,140,-0.137857,49.9016,467.2,334,190.285,0.700002,-0.250427,980.02,1000,141.279,-0.141422,50.0011,886.3,894,132.553,-0.0580901,42.7457,980.02,1000,141.279,-0.141422,50.0011,911.04,927,134.663,-0.118518,44.9386,980.02,1000,141.279,-0.141422,50.0011,886.56,894,132.712,-0.0560612,42.5798,1
27.4746,0,2.29,87.32,33.43,-1.79268,534.371,759,-0.522916,429.569,-1.26932,466.212,364,0.301272,339.268,960.549,981,137.554,-0.148676,50.2121,921.961,966,142.586,-0.308861,36.1094,971.647,990,138.704,-0.132317,50.8937,715.706,500,269.296,0.800999,-1.17508,980.412,1000,139.885,-0.140031,51.0039,908.471,917,132.576,-0.0643361,46.3343,980.412,1000,139.885,-0.140031,51.0039,922.824,926,135.177,-0.0234987,45.5948,980.412,1000,139.885,-0.140031,51.0039,890.196,893,130.448,-0.0214946,45.5217,1
24.9416,1.72,0,88.29,33.3,-1.75418,511.276,637,-0.302633,415.434,-1.04294,464.552,377,0.274659,318.766,943.06,954,136.651,-0.0800579,48.9133,937.84,972,142.199,-0.240227,40.2924,968.52,990,139.733,-0.153722,49.8292,520.02,500,141.343,0.141641,10.2044,980.02,1000,141.279,-0.141422,50.0011,904.48,920,133.659,-0.116117,44.9895,980.02,1000,141.279,-0.141422,50.0011,924.46,929,135.161,-0.0335896,47.082,980.02,1000,141.279,-0.141422,50.0011,902.9,907,134.861,-0.0304016,42.9786,1
21.8215,-0.6,-0.6,87.71,26.8,-1.80927,490.05,597,-0.260258,410.938,-0.977722,458.452,412,0.144443,321.595,960.885,982,135.916,-0.155356,51.6861,939.673,948,136.224,-0.0611265,46.5525,967.904,990,136.807,-0.161514,51.8517,980.788,1000,138.536,-0.138675,52.0005,980.788,1000,138.536,-0.138675,52.0005,884.135,894,129.855,-0.0759725,44.0369,980.788,1000,138.536,-0.138675,52.0005,876.865,896,130.309,-0.146841,41.8861,959.635,975,135.818,-0.113133,51.5598,852.846,859,129.37,-0.047568,38.3956,2
21.6784,0,-1.21,87.61,25.37,-1.8438,477.762,526.5,-0.116097,419.801,-1.02845,466.904,420,0.145576,322.197,970.706,991,138.678,-0.14634,50.7256,955.353,982,139.414,-0.191136,46.3379,973.941,990,139.057,-0.115484,50.8554,980.412,1000,139.885,-0.140031,51.0039,980.412,1000,139.885,-0.140031,51.0039,897.824,926,132.874,-0.212054,43.638,980.412,1000,139.885,-0.140031,51.0039,879.176,892,130.566,-0.0982146,43.0151,956.392,975,136.501,-0.13632,50.9305,854.863,857,129.137,-0.0165502,40.0388,2
